Year,Unenployment Rates,Population,Avg Price,Inflation,Interest,Vacancy,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,9.8,267.7,193300,1.9,2.75,8.8,,,,,,,,,,,,,,,,,,,,,,,
2005-02-01,9,267.9,193900,1.9,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-01,8.6,268.1,194800,1.9,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,8.2,268.3,195000,2,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-01,8.5,268.5,195100,1.9,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-01,8.5,268.8,194800,2,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,8.4,269.1,193000,2,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-01,7.8,269.3,191100,2.1,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-01,7.7,269.5,189400,2.1,3,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,7.5,269.6,190000,1.9,3.25,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-01,7.5,269.7,190700,1.9,3.25,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-01,7.4,269.8,191300,1.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,8.6,270.1,191300,2.1,3.75,9.2,,,,,,,,,,,,,,,,,,,,,,,
2006-02-01,9.9,270.3,191200,2,3.75,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-01,10.9,270.5,191300,1.9,4,,,,,,,,,,,,,,,,,,,,,,,,
2006-04-01,9.7,270.6,192700,1.8,4.25,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-01,9.2,270.8,193900,1.9,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-01,8.8,270.9,194800,1.7,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-01,9.5,271.1,195400,1.9,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-01,9.3,271.2,195600,2,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-01,9.1,271.2,196200,2.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-01,8.3,271.2,195300,2.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-01,8.1,271.3,194300,2.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-01,8.2,271.3,193600,2.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,9.8,271.3,192300,2.1,4.5,11.9,,,,,,,,,,,,,,,,,,,,,,,
2007-02-01,10.3,271.2,191600,2.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-01,10.7,271.2,190700,2.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-01,9.6,271.2,190200,2.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-01,9.5,271.2,189900,2.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-01,9.8,271.2,188900,2.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-01,9.9,271.3,188500,2.4,4.75,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-01,10.2,271.2,187900,2.3,4.75,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-01,9.5,271.2,188000,2.2,4.75,,,,,,,,,,,,,,,,,,,,,,,,
2007-10-01,8.4,271,186800,2,4.75,,,,,,,,,,,,,,,,,,,,,,,,
2007-11-01,7.8,270.9,186200,1.9,4.75,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-01,7.6,270.8,185300,1.9,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,9.2,270.6,185500,2,4.25,13.9,,,,,,,,,,,,,,,,,,,,,,,
2008-02-01,9.5,270.4,186800,1.9,4.25,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-01,9.8,270.2,187800,1.8,3.75,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,8.2,270,187400,1.9,3.25,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-01,7.9,269.9,186700,2,3.25,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-01,8.4,269.7,185300,2.2,3.25,,,,,,,,,,,,,,,,,,,,,,,,
2008-07-01,9.8,269.7,182700,2.2,3.25,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-01,10.5,269.6,181000,2.4,3.25,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-01,10.1,269.5,180400,2.7,3.25,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-01,9.2,269.4,181400,2.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-01,8.9,269.2,182700,3.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-01,9.4,269.1,184200,3.1,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,11.6,268.9,180000,3,1.25,12.2,,,,,,,,,,,,,,,,,,,,,,,
2009-02-01,13.8,268.7,177900,3.1,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-01,15.1,268.5,176000,3.2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,14,268.3,175700,3.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-01,14.2,268.2,175700,3.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-01,15.1,268.1,174800,3.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,16.4,268,175800,2.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-01,15.7,268,177600,2.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-01,14.5,268.1,181000,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,12.7,268.1,178600,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-01,11.6,268.1,177800,2.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,11.2,268.1,176100,1.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,12.5,268,179000,1.8,0.5,9.7,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,12.8,268,178700,1.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-01,13,267.9,183200,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,12.1,267.9,181100,1.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-01,12.1,267.9,178500,1.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-01,12.3,268,176400,1.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,12.4,268.1,179000,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,12.5,268.2,181600,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-01,11.8,268.3,179600,1,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,10.7,268.5,180400,1.2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-01,9.7,268.5,177000,1,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-01,9.6,268.6,175400,1.2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,9.8,268.6,182000,1.2,1.25,6.9,,,,,,,,,,,,,,,,,,,,,,,
2011-02-01,10.1,268.6,182000,1.1,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-01,10.6,268.5,180800,1.7,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,11,268.6,181200,1.6,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-01,10.8,268.6,182800,1.9,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-01,9.7,268.7,186400,1.8,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,9.1,268.8,185300,1.9,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-01,9.5,268.9,185500,2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-01,10.4,269.1,185300,2.1,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-01,10.1,269.3,186000,2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-01,9.7,269.5,189000,2.1,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-01,9.3,269.7,190100,2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,10.4,269.8,190200,2,1.25,6.6,,,,,,,,,,,,,,,,,,,,,,,
2012-02-01,10.9,270,189800,2.1,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-01,11.4,270.1,187500,1.7,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-01,10.3,270.2,189100,2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-01,10,270.4,190800,1.8,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-01,9.7,270.6,191200,1.8,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-01,10.5,270.9,189600,1.7,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-01,10.2,271.2,186100,1.7,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-01,9.5,271.6,183500,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,9.2,271.9,183300,1.6,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-01,9.1,272.3,182900,1.6,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-01,9.5,272.6,186800,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,10.5,273,187800,1.4,1.25,5.3,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,10.2,273.4,187700,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,10.7,273.7,190600,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,9.7,274.1,186800,1.3,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,10,274.5,187700,1.2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,9.3,274.9,187100,1.2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,9.5,275.3,189100,1.3,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-01,8.9,275.6,182500,1.2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,9.6,275.8,190000,1.3,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,8.5,276.1,192000,1.2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-01,7.5,276.3,195400,1,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-01,6.4,276.4,190600,1.2,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,6.6,276.6,191100,1.3,1.25,3.6,,,,,,,,,,,,,,,,,,,,,,,
2014-02-01,7.5,276.7,197300,1.3,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-01,8.6,276.8,194400,1.4,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-01,9.6,277,193100,1.4,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-01,10,277.1,186500,1.4,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-01,9.6,277.4,191800,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,9.2,277.5,198400,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,9.1,277.7,203100,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,8.5,277.7,203100,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,8.2,277.8,205300,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-01,7.6,277.8,205300,1.8,1.25,,,,,,,,,,,,,,,,,,,,,,,,
